Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State,00-0000,"Total, All Occupations",9541880,82547,59959,38047,104798
1,36,New York State,11-0000,Management Occupations,642760,185912,160736,84848,236445
1,36,New York State,11-1011,Chief Executives,7830,349390,223383,141073,453549
1,36,New York State,11-1021,General and Operations Managers,210890,172751,132400,70526,223863
1,36,New York State,11-1031,Legislators,1440,122566,98852,43914,161892
1,36,New York State,11-2011,Advertising and Promotions Managers,3570,236756,207941,130706,289781
1,36,New York State,11-2021,Marketing Managers,49480,199351,175789,108963,244546
1,36,New York State,11-2022,Sales Managers,35160,256166,218325,131397,318550
1,36,New York State,11-2032,Public Relations Managers,7330,218918,177006,121332,267711
1,36,New York State,11-2033,Fundraising Managers,4280,180140,169503,111352,214534
1,36,New York State,11-3012,Administrative Services Managers,14140,154140,134951,88651,186885
1,36,New York State,11-3013,Facilities Managers,9140,143113,130421,85570,171885
1,36,New York State,11-3021,Computer and Information Systems Managers,40780,226279,213876,142753,268042
1,36,New York State,11-3031,Financial Managers,67510,248776,219739,134809,305760
1,36,New York State,11-3051,Industrial Production Managers,6250,142035,131031,89122,168491
1,36,New York State,11-3061,Purchasing Managers,5980,183727,168009,110579,220300
1,36,New York State,11-3071,"Transportation, Storage, and Distribution Managers",6280,137606,123563,84483,164167
1,36,New York State,11-3111,Compensation and Benefits Managers,1760,195347,179665,123520,231261
1,36,New York State,11-3121,Human Resources Managers,16720,195603,174619,111978,237416
1,36,New York State,11-3131,Training and Development Managers,3380,180067,168107,106724,216737
1,36,New York State,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",,86253,79578,53883,102439
1,36,New York State,11-9021,Construction Managers,8170,158652,138039,91027,192465
1,36,New York State,11-9031,"Education Administrators, Preschool and Childcare Center/Program",3810,94541,81140,56446,113589
1,36,New York State,11-9032,"Education Administrators, Elementary and Secondary School",19300,145027,140424,95664,169708
1,36,New York State,11-9033,"Education Administrators, Postsecondary",7340,160766,138697,97726,192284
1,36,New York State,11-9039,"Education Administrators, All Other",2820,110193,95281,67813,131383
1,36,New York State,11-9041,Architectural and Engineering Managers,7330,188963,176749,132959,216965
1,36,New York State,11-9051,Food Service Managers,12260,90967,81661,59967,106468
1,36,New York State,11-9071,Gaming Managers,,103251,95893,70052,119850
1,36,New York State,11-9072,"Entertainment and Recreation Managers, Except Gambling",850,105941,99303,61621,128101
1,36,New York State,11-9081,Lodging Managers,3130,90109,78164,50918,109705
1,36,New York State,11-9111,Medical and Health Services Managers,31010,180513,152599,101535,220002
1,36,New York State,11-9121,Natural Sciences Managers,4580,148596,133614,67626,189081
1,36,New York State,11-9131,Postmasters and Mail Superintendents,830,97288,94955,86778,102543
1,36,New York State,11-9141,"Property, Real Estate, and Community Association Managers",12940,104998,78751,62885,126056
