date,city,AWND,PRCP,RHMN,SNWD,TMAX,TMIN,PM25,aqi,state,wind_direction
2023-01-01,Albany,10.3,0.0,62.0,0.0,51.0,34.0,7.275,40.0,New York,306
2023-01-01,Syracuse,8.3,0.0,65.0,0.0,50.0,38.0,9.2,51.0,New York,264
2023-01-02,Albany,2.0,0.0,59.0,0.0,51.0,29.0,13.941667,60.0,New York,165
2023-01-02,Syracuse,4.9,0.0,68.0,0.0,46.0,39.0,11.6,56.0,New York,248
2023-01-03,Albany,0.4,0.3,89.0,0.0,37.0,27.0,14.0,60.0,New York,278
2023-01-03,Syracuse,5.1,0.23,76.0,0.0,41.0,35.0,9.6,52.0,New York,67
2023-01-04,Albany,3.8,0.08,89.0,0.0,43.0,37.0,8.379167,46.0,New York,320
2023-01-04,Syracuse,5.1,0.61,92.0,0.0,45.0,41.0,5.341667,29.0,New York,18
2023-01-05,Albany,3.8,0.03,77.0,0.0,49.0,38.0,6.529167,36.0,New York,174
2023-01-05,Syracuse,5.4,0.15,59.0,0.0,48.0,35.0,7.933333,44.0,New York,244
2023-01-06,Albany,3.1,0.33,76.0,0.0,44.0,30.0,3.5,19.0,New York,152
2023-01-06,Syracuse,6.3,0.06,68.0,0.0,41.0,31.0,6.1,34.0,New York,245
2023-01-07,Albany,9.6,0.0,63.0,0.0,42.0,27.0,6.875,38.0,New York,309
2023-01-07,Syracuse,9.2,0.0,67.0,0.0,38.0,24.0,7.354167,41.0,New York,293
2023-01-08,Albany,3.8,0.0,50.0,0.0,35.0,19.0,5.6625,31.0,New York,330
2023-01-08,Syracuse,3.4,0.0,61.0,0.0,33.0,21.0,6.6125,37.0,New York,320
2023-01-09,Albany,4.7,0.0,66.0,0.0,36.0,18.0,10.0,53.0,New York,331
2023-01-09,Syracuse,8.9,0.0,59.0,0.0,37.0,21.0,9.7,52.0,New York,265
2023-01-10,Albany,9.6,0.0,54.0,0.0,38.0,22.0,5.879167,32.0,New York,315
2023-01-10,Syracuse,7.6,0.02,64.0,0.0,35.0,20.0,6.533333,36.0,New York,301
2023-01-11,Albany,4.5,0.0,52.0,0.0,33.0,19.0,7.9875,44.0,New York,343
2023-01-11,Syracuse,7.4,0.0,64.0,0.0,33.0,16.0,9.76,52.0,New York,90
2023-01-12,Albany,5.4,0.33,61.0,0.0,38.0,32.0,7.3,41.0,New York,163
2023-01-12,Syracuse,8.7,0.51,67.0,0.0,44.0,29.0,6.8,38.0,New York,133
